N;модел;mac;точен адрес ;Как се води;нод/захранване/контролна точка;Домакинства;дата на монтаж;забележка;GPS координати;GPS координати
94;;дублиран;ж.к.Банишора бл.41А, вх.В;Banishora 41A II;нод;1860;;;;
95;;няма ток;ъгъла на ул.Атанас Кирчев и ул.Спас Вацов;Krasna poliana bl.8 I;нод;600;;;;
96;;няма ток;ъгъла на ул.Атанас Кирчев и ул.Спас Вацов;Krasna poliana bl.8 II;нод;1170;;;;
97;;няма ток;ж.к.Западен парк бл.9;Krasna polian bl.9 I;нод;809;;;;
98;;няма ток;ж.к.Западен парк бл.9;Krasna polian bl.9 II;нод;1104;;;;
99;;дублиран;ъгъла на ул. Русе и ул. Пловдив;Sv.Troica 350A I;нод;1238;;;;
100;Motorola;00.23.ed.d6.6f.78;ъгъла на ул. Русе и ул. Пловдив;Sv.Troica 350A II;нод;1022;29.09.2012;;"42°42'36.60""С";" 23°17'48.89""И"
101;;няма ток;ж.к. Фондови жилища бл.2 ул.Пражка пролет;Fondovi Jilishta bl.2 I;нод;924;;;;
102;;няма ток;ж.к. Фондови жилища бл.2 ул.Пражка пролет;Fondovi Jilishta bl.2 I;нод;408;;;;
103;;няма ток;ул.Княз Борис I 85;Kniaz Boris i Alabin;нод;842;;;;
104;;;ъгъла на ул.Яков Крайков и ул. Захари Круша;Medicinska Akademia;нод;1015;;;;
105;;;ул.Солунска 65;Hristo Botev i Solunska;нод;1107;;;;
106;;няма ток;ул.Г.С.Раковски 191;Vasil levski i Rakovski;нод;1213;;;;
107;;няма ток;ъгъла на ул.Гурко и ул.А.Батенберг;Gurko i Batenberg;нод;895;;;;
108;;няма ток;ул.Владайска 79А;Skobelev i Vladaiska;нод;1309;;;;
109;;няма ток;ул.Здраве 25;Adriana Budevska;нод;381;;;;
110;;няма ток;ъгъла на ул.Яков Крайков и ул.Г.Софийски;Yakov Krajkov;нод;1606;;;;
111;Motorola;00.23.ee.03.40.f2;ж.к.Сердика бл.1 вх.А;Serdika bl.1;нод;814;29.09.2012;;"42°41'33.59""С";" 23°17'36.87""И"
112;;няма ток;ул.Васил Левски 25;Vasil Levski i 6 septemvri;нод;1039;;;;
113;;няма ток;ул.Хан Крум 13А;Neofit Rilski i 6 Septemvri;нод;911;;;;
114;;;ул.Княз Борис I 17;Kniaz Boris 17;нод;1432;;;;
115;;;ул.Лайош Кошут 13;Laiosh Koshut;нод;1247;;;;
116;;;ул.Алабин 16-20;Stopanska kamara;нод;1639;;;;
117;;;ул.Шандор Петьофи 31;Shandor PEtiofi;нод;1131;;;;
118;;няма ток;ул.Туднжа 7;Liulin Planina i Tundja;нод;672;;;;
119;;няма ток;ул.Шандор Петьофи 42;Shandor Petiofi i Car Asen II;нод;944;;;;
120;;няма ток;ул.Шандор Петьофи 42;Shandor Petiofi i Car Asen I;нод;831;;;;
121;;няма ток;ул.Г.С.Раковски 132;Neofit Rilski i Rakowski;нод;749;;;;
122;;;ул. Ю.Венелин 11;Juri Venelin;нод;1203;;;;
123;;няма ток;ул.Хан Крум 35;Han Krum;нод;481;;;;
124;;;ул. Прага 6;Praga;нод;692;;;;
125;;няма ток;ул. Ангел Кънчев 7;Angel Kanchev;нод;841;;;;
126;;;ул.Солунска 13;Solunska i Belchev - Metromedia;нод;1077;;;;
127;;;ул.Патриарх Евтимий 38;Patriarh Evtimii;нод;1053;;;;
128;;няма ток;ул.Цар Асен 58;Gurguliat i Car Asen;нод;1001;;;;
129;;;ул.Г.С.Раковски 188;Rakovska i Evlogi Georgiev I;нод;1286;;;;
130;;;ул.Г.С.Раковски 188;Rakovska i Evlogi Georgiev II;нод;941;;;;
131;;няма ток;ул. Витоша 62А;Vitosha i Patriarh Evtimii I;нод;1037;;;;
132;;няма ток;ул. Витоша 62А;Vitosha i Patriarh Evtimii II;нод;1052;;;;
133;;;ул.Даскал Манол 7;Daskal Manol;нод;1118;;;;
134;;;ул. Стефан Караджа 12;Himimport;нод;407;;;;
135;;няма ток;ул.Раковски 120В;Han Krum i Rakovska;нод;679;;;;
136;;;ул.Позитано 11А;Damian Gruew;нод;891;;;;
;;;;;;;;;;
